name,img_url,category_id
panther,https://imgur.com/2qZJ5xL.gif,1
lion,https://imgur.com/R6bdhMK.gif,1
wolf,https://imgur.com/nqoOQrw.gif,1
bear,https://imgur.com/NK6LDQH.gif,1
hamster,https://imgur.com/bc4X8cY.gif,1
hedgehog,https://imgur.com/W9sRNAY.gif,1
panda,https://imgur.com/x4BSaLM.gif,1
elephant,https://imgur.com/CFcWyB0.gif,1
cat,https://imgur.com/9agDqzD.gif,1
monkey,https://imgur.com/JSowWQ4.gif,1
bulldog,https://imgur.com/9aoaRWn.gif,1
cow,https://imgur.com/eO90D2F.gif,1
bunny,https://imgur.com/OzdVU0I.gif,1
otter,https://imgur.com/crKqMmh.gif,1
penguin,https://imgur.com/8IfZab3.gif,1
eagle,https://imgur.com/eqDaRFx.gif,1



hamsterchew,https://media.giphy.com/media/H6joYRHbUEP4s/giphy.gif,1
catglasses,https://media.giphy.com/media/1HKaikaFqDt7i/giphy.gif,1
catmusic,https://media.giphy.com/media/2GrNmaGsI2ybu/giphy.gif,1
catwiggle,https://media.giphy.com/media/26ufkHj11Rm5lvXuo/giphy.gif,1
catkeyboard,https://media.giphy.com/media/JIX9t2j0ZTN9S/giphy.gif,1
